ID_Doc,Autores,Ano,Titulo,Periodico,DOI,Fluxo de mobilidade,Enquadramento seminal,Tríade cordal,Classificação agêntica,indice_relevancia_pead
DOC_001,"Bai, L.; Wang, Y. X.",2024,Combating language and academic culture shocks—International students' agency in mobilizing their cultural capital,Journal of Diversity in Higher Education,10.1037/dhe0000409,Sul-Norte,Híbrida / Integrada,Tríade Completa,Navegação Pragmática,95
DOC_002,"Ding, Q.; Devine, N.",2018,Exploring the supervision experiences of Chinese overseas PhD students in New Zealand,Knowledge Cultures,10.22381/KC6120186,Sul-Norte,Sociológica-Estrutural,Prático-Avaliativa,Navegação Pragmática,88
DOC_003,"Nguyen, M. N.; Robertson, M. J.",2022,International students enacting agency in their PhD journey,Studies in Higher Education,10.1080/13562517.2020.1747423,Sul-Norte,Híbrida / Integrada,Tríade Completa,Navegação Pragmática,96
DOC_004,"Liu, C",2026,Navigating structure and agency: disadvantaged Chinese students’ motivations for international education mobility,British Journal of Sociology of Education,10.1080/01425692.2026.2619550,Sul-Norte,Sociológica-Estrutural,Projetiva,Navegação Pragmática,30
DOC_005,"Matsunaga, K.; Barnes, M. M.; Saito, E.",2021,Agency and hysteresis encounters: understanding the international education experiences of Japanese students in Australian universities,Cambridge Journal of Education,10.1080/0305764X.2021.1926927,Norte-Norte,Sociológica-Estrutural,Tríade Completa,Navegação Pragmática,94
DOC_006,"Robertson, M. J.; Nguyet Nguyen, M.",2021,Robing up: transactional identity development of Vietnamese PhD students,Asia Pacific Journal of Education,10.1080/02188791.2020.1772197,Sul-Norte,Sociológica-Estrutural,Prático-Avaliativa,Navegação Pragmática,94
DOC_007,"Tran, L. T.; Vu, T. T. P.",2018,‘Agency in mobility’: towards a conceptualisation of international student agency in transnational mobility,Educational Review,10.1080/00131911.2017.1293615,Sul-Norte,Híbrida / Integrada,Tríade Completa,Contestatória-Transformativa,88
DOC_008,"Yu, Y.; He, R.",2024,The 'chosen' UK? Remapping of international education mobility for prospective Chinese master's students during and post the COVID-19 pandemic,Higher Education,10.1007/s10734-024-01193-2,Sul-Norte,Híbrida / Integrada,Projetiva,Navegação Pragmática,52
DOC_009,"Yue, Y.; Shen, W.; Yu, W.; Liu, Y.; Wang, S.",2026,International Student Agency in Study Abroad Decision-Making: A Qualitative Case Study Based on the Chordal Triad of Agency,Journal of Studies in International Education,10.1177/10283153261420695,Sul-Norte,Híbrida / Integrada,Tríade Completa,Navegação Pragmática,88
DOC_010,"Acquaye, H. E.; Welch, C.; Jacobs, L.; Ross, A.",2020,A Phenomenological Study of International Students in US Graduate Programs Through the Lens of Personal Growth Initiative Construct,The Qualitative Report,10.46743/2160-3715/2020.4287,Sul-Norte,Sociocognitiva,Prático-Avaliativa,Navegação Pragmática,53
DOC_011,"Amadasi, S.; Holliday, A.",2018,‘I already have a culture.’ Negotiating competing grand and personal narratives in interview conversations with new study abroad arrivals,Language and Intercultural Communication,10.1080/14708477.2017.1357727,Sul-Norte,Sociológica-Estrutural,Prático-Avaliativa,Contestatória-Transformativa,45
DOC_012,"Andrew, L.; De Maio, C.; Matthews, S.; McFarlane, J.; Yan, T.; Stein, M.",2026,Identifying the academic literacy needs of international higher degree by research (HDR) students in Australian universities: A comprehensive scoping review,Journal of Academic Language and Learning (JALL),,Sul-Norte,Híbrida / Integrada,Prático-Avaliativa,Navegação Pragmática,20
DOC_013,"Arkoudis, S.; Tran, L. T.",2007,International students in Australia: Read ten thousand volumes of books and walk ten thousand miles,Asia Pacific Journal of Education,10.1080/02188790701378792,Sul-Norte,Híbrida / Integrada,Prático-Avaliativa,Navegação Pragmática,88
DOC_014,"Bang, N. M.; Kim, H.; Woo, H.; Henry, M. C.; Park, Y.",2026,Socialization experiences of East Asian international doctoral students in education in the U.S,Asia Pacific Education Review,10.1007/s12564-026-10107-z,Sul-Norte,Sociocognitiva,Prático-Avaliativa,Navegação Pragmática,91
DOC_015,"Bond, B.",2019,"International students: language, culture and the 'performance of identity'",Teaching in Higher Education,10.1080/13562517.2019.1593129,Sul-Norte,Sociológica-Estrutural,Prático-Avaliativa,Navegação Pragmática,70
DOC_016,"Chang, C. E.; Strauss, P.",2010,‘Active agents of change?’ Mandarin-speaking students in New Zealand and the thesis writing process,Language and Education,10.1080/09500781003789873,Sul-Norte,Híbrida / Integrada,Prático-Avaliativa,Navegação Pragmática,87
DOC_017,"Chang, Y.-J.",2011,Picking One's Battles: NNES Doctoral Students' Imagined Communities and Selections of Investment,"Journal of Language, Identity, and Education",10.1080/15348458.2011.598125,Sul-Norte,Híbrida / Integrada,Tríade Completa,Navegação Pragmática,92
DOC_018,"Chen, X.; Curdt-Christiansen, X. L.",2024,Engaging in classroom discussions: Academic socialisation of Chinese international students in the UK,System,10.1016/j.system.2024.103234,Sul-Norte,Híbrida / Integrada,Tríade Completa,Navegação Pragmática,92
DOC_019,"Cotterall, S.",2015,The rich get richer: international doctoral candidates and scholarly identity,Innovations in Education and Teaching International,10.1080/14703297.2013.839124,Sul-Norte,Híbrida / Integrada,Tríade Completa,Navegação Pragmática,50
DOC_020,"Dai, K.; Mu, G. M.",2024,Navigating across academic labour markets: a Bourdieusian reflexive narrative of a Chinese international doctoral graduate’s employment experiences,Higher Education Research & Development,10.1080/07294360.2024.2332262,Sul-Norte,Sociológica-Estrutural,Tríade Completa,Navegação Pragmática,88
DOC_021,"Ding, Q.; Devine, N.",2017,Agency and social capital in Chinese international doctoral students' conversion to Christianity,Educational Philosophy and Theory,10.1080/00131857.2017.1342158,Sul-Norte,Híbrida / Integrada,Tríade Completa,Navegação Pragmática,88
DOC_022,"Dingyloudi, F.; Strijbos, J.-W.; de Laat, M. F.",2019,Value creation: What matters most in Communities of Learning Practice in higher education,Studies in Educational Evaluation,10.1016/j.stueduc.2019.05.006,Sul-Norte,Híbrida / Integrada,Tríade Completa,Navegação Pragmática,76
